2026-04-16 14:55:30 [main] INFO  c.a.b.n.c.u.NacosConfigPropertiesUtils - nacosConfigProperties : NacosConfigProperties{serverAddr='127.0.0.1:8848', contextPath='null', encode='null', endpoint='null', namespace='null', accessKey='null', secretKey='null', ramRoleName='null', autoRefresh=false, dataId='austin', dataIds='null', group='DEFAULT_GROUP', type=PROPERTIES, maxRetry='null', configLongPollTimeout='null', configRetryTime='null', enableRemoteSyncConfig=false, extConfig=[], bootstrap=Bootstrap{enable=false, logEnable=false}}
2026-04-16 14:55:30 [main] INFO  c.a.b.n.c.a.NacosConfigApplicationContextInitializer - [Nacos Config Boot] : The preload configuration is not enabled
2026-04-16 14:55:30 [main] INFO  c.m.p.w.c.SendControllerTest - Starting SendControllerTest using Java 17.0.11 with PID 9692 (started by ZHD in C:\Users\ZHD\Downloads\mhd-msg-push-tmp2026041509424809\mhd-msg-push\push-web)
2026-04-16 14:55:30 [main] INFO  c.m.p.w.c.SendControllerTest - The following 1 profile is active: "dev"
2026-04-16 14:55:30 [main] INFO  c.m.p.w.c.SendControllerTest - Started SendControllerTest in 0.5 seconds (process running for 6.65)
2026-04-16 14:55:30 [main] INFO  com.mhd.push.ServerApplication - push start succeeded, Index >> http://127.0.0.1:8080/
2026-04-16 14:55:30 [main] INFO  c.m.p.w.i.PlusWebInvokeTimeInterceptor - 域名信息：localhost
2026-04-16 14:55:30 [main] INFO  c.m.p.w.i.PlusWebInvokeTimeInterceptor - 域名信息：localhost
2026-04-16 15:03:04 [main] INFO  c.a.b.n.c.u.NacosConfigPropertiesUtils - nacosConfigProperties : NacosConfigProperties{serverAddr='127.0.0.1:8848', contextPath='null', encode='null', endpoint='null', namespace='null', accessKey='null', secretKey='null', ramRoleName='null', autoRefresh=false, dataId='austin', dataIds='null', group='DEFAULT_GROUP', type=PROPERTIES, maxRetry='null', configLongPollTimeout='null', configRetryTime='null', enableRemoteSyncConfig=false, extConfig=[], bootstrap=Bootstrap{enable=false, logEnable=false}}
2026-04-16 15:03:04 [background-preinit] INFO  o.h.validator.internal.util.Version - HV000001: Hibernate Validator 8.0.3.Final
2026-04-16 15:03:04 [main] INFO  c.a.b.n.c.u.NacosConfigPropertiesUtils - nacosConfigProperties : NacosConfigProperties{serverAddr='127.0.0.1:8848', contextPath='null', encode='null', endpoint='null', namespace='null', accessKey='null', secretKey='null', ramRoleName='null', autoRefresh=false, dataId='austin', dataIds='null', group='DEFAULT_GROUP', type=PROPERTIES, maxRetry='null', configLongPollTimeout='null', configRetryTime='null', enableRemoteSyncConfig=false, extConfig=[], bootstrap=Bootstrap{enable=false, logEnable=false}}
2026-04-16 15:03:04 [main] INFO  c.a.b.n.c.a.NacosConfigApplicationContextInitializer - [Nacos Config Boot] : The preload configuration is not enabled
2026-04-16 15:03:04 [main] INFO  c.m.p.w.c.ChannelAccountControllerTest - Starting ChannelAccountControllerTest using Java 17.0.11 with PID 26752 (started by ZHD in C:\Users\ZHD\Downloads\mhd-msg-push-tmp2026041509424809\mhd-msg-push\push-web)
2026-04-16 15:03:04 [main] INFO  c.m.p.w.c.ChannelAccountControllerTest - The following 1 profile is active: "dev"
2026-04-16 15:03:07 [main] INFO  c.m.p.w.c.ChannelAccountControllerTest - Started ChannelAccountControllerTest in 3.435 seconds (process running for 4.504)
2026-04-16 15:03:07 [main] INFO  com.mhd.push.ServerApplication - push start succeeded, Index >> http://127.0.0.1:8080/
2026-04-16 15:03:07 [main] INFO  c.m.p.w.i.PlusWebInvokeTimeInterceptor - 域名信息：localhost
2026-04-16 15:03:07 [main] INFO  c.m.p.w.i.PlusWebInvokeTimeInterceptor - 域名信息：localhost
2026-04-16 15:03:07 [main] INFO  c.m.p.w.i.PlusWebInvokeTimeInterceptor - 域名信息：localhost
2026-04-16 15:03:07 [main] INFO  c.m.p.w.i.PlusWebInvokeTimeInterceptor - 域名信息：localhost
2026-04-16 15:03:07 [main] INFO  c.m.p.w.i.PlusWebInvokeTimeInterceptor - 域名信息：localhost
2026-04-16 15:03:07 [main] INFO  c.a.b.n.c.u.NacosConfigPropertiesUtils - nacosConfigProperties : NacosConfigProperties{serverAddr='127.0.0.1:8848', contextPath='null', encode='null', endpoint='null', namespace='null', accessKey='null', secretKey='null', ramRoleName='null', autoRefresh=false, dataId='austin', dataIds='null', group='DEFAULT_GROUP', type=PROPERTIES, maxRetry='null', configLongPollTimeout='null', configRetryTime='null', enableRemoteSyncConfig=false, extConfig=[], bootstrap=Bootstrap{enable=false, logEnable=false}}
2026-04-16 15:03:07 [main] INFO  c.a.b.n.c.u.NacosConfigPropertiesUtils - nacosConfigProperties : NacosConfigProperties{serverAddr='127.0.0.1:8848', contextPath='null', encode='null', endpoint='null', namespace='null', accessKey='null', secretKey='null', ramRoleName='null', autoRefresh=false, dataId='austin', dataIds='null', group='DEFAULT_GROUP', type=PROPERTIES, maxRetry='null', configLongPollTimeout='null', configRetryTime='null', enableRemoteSyncConfig=false, extConfig=[], bootstrap=Bootstrap{enable=false, logEnable=false}}
2026-04-16 15:03:07 [main] INFO  c.a.b.n.c.u.NacosConfigPropertiesUtils - nacosConfigProperties : NacosConfigProperties{serverAddr='127.0.0.1:8848', contextPath='null', encode='null', endpoint='null', namespace='null', accessKey='null', secretKey='null', ramRoleName='null', autoRefresh=false, dataId='austin', dataIds='null', group='DEFAULT_GROUP', type=PROPERTIES, maxRetry='null', configLongPollTimeout='null', configRetryTime='null', enableRemoteSyncConfig=false, extConfig=[], bootstrap=Bootstrap{enable=false, logEnable=false}}
2026-04-16 15:03:07 [main] INFO  c.a.b.n.c.a.NacosConfigApplicationContextInitializer - [Nacos Config Boot] : The preload configuration is not enabled
2026-04-16 15:03:07 [main] INFO  c.m.p.w.c.MessageTemplateControllerTest - Starting MessageTemplateControllerTest using Java 17.0.11 with PID 26752 (started by ZHD in C:\Users\ZHD\Downloads\mhd-msg-push-tmp2026041509424809\mhd-msg-push\push-web)
2026-04-16 15:03:07 [main] INFO  c.m.p.w.c.MessageTemplateControllerTest - The following 1 profile is active: "dev"
2026-04-16 15:03:08 [main] INFO  c.m.p.w.c.MessageTemplateControllerTest - Started MessageTemplateControllerTest in 0.754 seconds (process running for 5.863)
2026-04-16 15:03:08 [main] INFO  com.mhd.push.ServerApplication - push start succeeded, Index >> http://127.0.0.1:8080/
2026-04-16 15:03:08 [main] INFO  c.m.p.w.i.PlusWebInvokeTimeInterceptor - 域名信息：localhost
2026-04-16 15:03:08 [main] INFO  c.m.p.w.i.PlusWebInvokeTimeInterceptor - 域名信息：localhost
2026-04-16 15:03:08 [main] INFO  c.m.p.w.i.PlusWebInvokeTimeInterceptor - 域名信息：localhost
2026-04-16 15:03:08 [main] INFO  c.m.p.w.i.PlusWebInvokeTimeInterceptor - 域名信息：localhost
2026-04-16 15:03:08 [main] INFO  c.m.p.w.i.PlusWebInvokeTimeInterceptor - 域名信息：localhost
2026-04-16 15:03:09 [main] INFO  c.m.p.w.i.PlusWebInvokeTimeInterceptor - 域名信息：localhost
2026-04-16 15:03:09 [main] INFO  c.m.p.w.i.PlusWebInvokeTimeInterceptor - 域名信息：localhost
2026-04-16 15:03:09 [main] INFO  c.a.b.n.c.u.NacosConfigPropertiesUtils - nacosConfigProperties : NacosConfigProperties{serverAddr='127.0.0.1:8848', contextPath='null', encode='null', endpoint='null', namespace='null', accessKey='null', secretKey='null', ramRoleName='null', autoRefresh=false, dataId='austin', dataIds='null', group='DEFAULT_GROUP', type=PROPERTIES, maxRetry='null', configLongPollTimeout='null', configRetryTime='null', enableRemoteSyncConfig=false, extConfig=[], bootstrap=Bootstrap{enable=false, logEnable=false}}
2026-04-16 15:03:09 [main] INFO  c.a.b.n.c.u.NacosConfigPropertiesUtils - nacosConfigProperties : NacosConfigProperties{serverAddr='127.0.0.1:8848', contextPath='null', encode='null', endpoint='null', namespace='null', accessKey='null', secretKey='null', ramRoleName='null', autoRefresh=false, dataId='austin', dataIds='null', group='DEFAULT_GROUP', type=PROPERTIES, maxRetry='null', configLongPollTimeout='null', configRetryTime='null', enableRemoteSyncConfig=false, extConfig=[], bootstrap=Bootstrap{enable=false, logEnable=false}}
2026-04-16 15:03:09 [main] INFO  c.a.b.n.c.u.NacosConfigPropertiesUtils - nacosConfigProperties : NacosConfigProperties{serverAddr='127.0.0.1:8848', contextPath='null', encode='null', endpoint='null', namespace='null', accessKey='null', secretKey='null', ramRoleName='null', autoRefresh=false, dataId='austin', dataIds='null', group='DEFAULT_GROUP', type=PROPERTIES, maxRetry='null', configLongPollTimeout='null', configRetryTime='null', enableRemoteSyncConfig=false, extConfig=[], bootstrap=Bootstrap{enable=false, logEnable=false}}
2026-04-16 15:03:09 [main] INFO  c.a.b.n.c.a.NacosConfigApplicationContextInitializer - [Nacos Config Boot] : The preload configuration is not enabled
2026-04-16 15:03:09 [main] INFO  c.m.p.w.c.SendControllerTest - Starting SendControllerTest using Java 17.0.11 with PID 26752 (started by ZHD in C:\Users\ZHD\Downloads\mhd-msg-push-tmp2026041509424809\mhd-msg-push\push-web)
2026-04-16 15:03:09 [main] INFO  c.m.p.w.c.SendControllerTest - The following 1 profile is active: "dev"
2026-04-16 15:03:09 [main] INFO  c.m.p.w.c.SendControllerTest - Started SendControllerTest in 0.495 seconds (process running for 6.834)
2026-04-16 15:03:09 [main] INFO  com.mhd.push.ServerApplication - push start succeeded, Index >> http://127.0.0.1:8080/
2026-04-16 15:03:09 [main] INFO  c.m.p.w.i.PlusWebInvokeTimeInterceptor - 域名信息：localhost
2026-04-16 15:03:09 [main] INFO  c.m.p.w.i.PlusWebInvokeTimeInterceptor - 域名信息：localhost
2026-04-16 15:17:53 [main] INFO  c.a.b.n.c.u.NacosConfigPropertiesUtils - nacosConfigProperties : NacosConfigProperties{serverAddr='127.0.0.1:8848', contextPath='null', encode='null', endpoint='null', namespace='null', accessKey='null', secretKey='null', ramRoleName='null', autoRefresh=false, dataId='austin', dataIds='null', group='DEFAULT_GROUP', type=PROPERTIES, maxRetry='null', configLongPollTimeout='null', configRetryTime='null', enableRemoteSyncConfig=false, extConfig=[], bootstrap=Bootstrap{enable=false, logEnable=false}}
2026-04-16 15:17:53 [background-preinit] INFO  o.h.validator.internal.util.Version - HV000001: Hibernate Validator 8.0.3.Final
2026-04-16 15:17:53 [main] INFO  c.a.b.n.c.u.NacosConfigPropertiesUtils - nacosConfigProperties : NacosConfigProperties{serverAddr='127.0.0.1:8848', contextPath='null', encode='null', endpoint='null', namespace='null', accessKey='null', secretKey='null', ramRoleName='null', autoRefresh=false, dataId='austin', dataIds='null', group='DEFAULT_GROUP', type=PROPERTIES, maxRetry='null', configLongPollTimeout='null', configRetryTime='null', enableRemoteSyncConfig=false, extConfig=[], bootstrap=Bootstrap{enable=false, logEnable=false}}
2026-04-16 15:17:53 [main] INFO  c.a.b.n.c.a.NacosConfigApplicationContextInitializer - [Nacos Config Boot] : The preload configuration is not enabled
2026-04-16 15:17:53 [main] INFO  c.m.p.w.c.ChannelAccountControllerTest - Starting ChannelAccountControllerTest using Java 17.0.11 with PID 26216 (started by ZHD in C:\Users\ZHD\Downloads\mhd-msg-push-tmp2026041509424809\mhd-msg-push\push-web)
2026-04-16 15:17:53 [main] INFO  c.m.p.w.c.ChannelAccountControllerTest - The following 1 profile is active: "dev"
2026-04-16 15:17:55 [main] INFO  c.m.p.w.c.ChannelAccountControllerTest - Started ChannelAccountControllerTest in 3.173 seconds (process running for 4.435)
2026-04-16 15:17:55 [main] INFO  com.mhd.push.ServerApplication - push start succeeded, Index >> http://127.0.0.1:8080/
2026-04-16 15:17:55 [main] INFO  c.m.p.w.i.PlusWebInvokeTimeInterceptor - 域名信息：localhost
2026-04-16 15:36:48 [main] INFO  c.a.b.n.c.u.NacosConfigPropertiesUtils - nacosConfigProperties : NacosConfigProperties{serverAddr='127.0.0.1:8848', contextPath='null', encode='null', endpoint='null', namespace='null', accessKey='null', secretKey='null', ramRoleName='null', autoRefresh=false, dataId='austin', dataIds='null', group='DEFAULT_GROUP', type=PROPERTIES, maxRetry='null', configLongPollTimeout='null', configRetryTime='null', enableRemoteSyncConfig=false, extConfig=[], bootstrap=Bootstrap{enable=false, logEnable=false}}
2026-04-16 15:36:48 [background-preinit] INFO  o.h.validator.internal.util.Version - HV000001: Hibernate Validator 8.0.3.Final
2026-04-16 15:36:48 [main] INFO  c.a.b.n.c.u.NacosConfigPropertiesUtils - nacosConfigProperties : NacosConfigProperties{serverAddr='127.0.0.1:8848', contextPath='null', encode='null', endpoint='null', namespace='null', accessKey='null', secretKey='null', ramRoleName='null', autoRefresh=false, dataId='austin', dataIds='null', group='DEFAULT_GROUP', type=PROPERTIES, maxRetry='null', configLongPollTimeout='null', configRetryTime='null', enableRemoteSyncConfig=false, extConfig=[], bootstrap=Bootstrap{enable=false, logEnable=false}}
2026-04-16 15:36:48 [main] INFO  c.a.b.n.c.a.NacosConfigApplicationContextInitializer - [Nacos Config Boot] : The preload configuration is not enabled
2026-04-16 15:36:48 [main] INFO  c.m.p.w.c.WebControllerIntegrationTest - Starting WebControllerIntegrationTest using Java 17.0.11 with PID 22092 (started by ZHD in C:\Users\ZHD\Downloads\mhd-msg-push-tmp2026041509424809\mhd-msg-push\push-web)
2026-04-16 15:36:48 [main] INFO  c.m.p.w.c.WebControllerIntegrationTest - The following 1 profile is active: "dev"
2026-04-16 15:36:50 [main] INFO  c.u.j.c.EnableEncryptablePropertiesBeanFactoryPostProcessor - Post-processing PropertySource instances
2026-04-16 15:36:50 [main] INFO  c.u.j.EncryptablePropertySourceConverter - Converting PropertySource Annotations [org.springframework.boot.test.autoconfigure.properties.AnnotationsPropertySource] to EncryptableEnumerablePropertySourceWrapper
2026-04-16 15:36:50 [main] INFO  c.u.j.EncryptablePropertySourceConverter - Skipping PropertySource configurationProperties [class org.springframework.boot.context.properties.source.ConfigurationPropertySourcesPropertySource
2026-04-16 15:36:50 [main] INFO  c.u.j.EncryptablePropertySourceConverter - Converting PropertySource test [org.springframework.core.env.MapPropertySource] to EncryptableMapPropertySourceWrapper
2026-04-16 15:36:50 [main] INFO  c.u.j.EncryptablePropertySourceConverter - Converting PropertySource Inlined Test Properties [org.springframework.core.env.MapPropertySource] to EncryptableMapPropertySourceWrapper
2026-04-16 15:36:50 [main] INFO  c.u.j.EncryptablePropertySourceConverter - Skipping PropertySource servletConfigInitParams [class org.springframework.core.env.PropertySource$StubPropertySource
2026-04-16 15:36:50 [main] INFO  c.u.j.EncryptablePropertySourceConverter - Converting PropertySource servletContextInitParams [org.springframework.web.context.support.ServletContextPropertySource] to EncryptableEnumerablePropertySourceWrapper
2026-04-16 15:36:50 [main] INFO  c.u.j.EncryptablePropertySourceConverter - Converting PropertySource systemProperties [org.springframework.core.env.PropertiesPropertySource] to EncryptableMapPropertySourceWrapper
2026-04-16 15:36:50 [main] INFO  c.u.j.EncryptablePropertySourceConverter - Converting PropertySource systemEnvironment [org.springframework.boot.env.SystemEnvironmentPropertySourceEnvironmentPostProcessor$OriginAwareSystemEnvironmentPropertySource] to EncryptableSystemEnvironmentPropertySourceWrapper
2026-04-16 15:36:50 [main] INFO  c.u.j.EncryptablePropertySourceConverter - Converting PropertySource random [org.springframework.boot.env.RandomValuePropertySource] to EncryptablePropertySourceWrapper
2026-04-16 15:36:50 [main] INFO  c.u.j.EncryptablePropertySourceConverter - Converting PropertySource Config resource 'class path resource [application-dev.yml]' via location 'optional:classpath:/' [org.springframework.boot.env.OriginTrackedMapPropertySource] to EncryptableMapPropertySourceWrapper
2026-04-16 15:36:50 [main] INFO  c.u.j.EncryptablePropertySourceConverter - Converting PropertySource Config resource 'class path resource [application.yml]' via location 'optional:classpath:/' [org.springframework.boot.env.OriginTrackedMapPropertySource] to EncryptableMapPropertySourceWrapper
2026-04-16 15:36:50 [main] INFO  c.u.j.EncryptablePropertySourceConverter - Converting PropertySource applicationInfo [org.springframework.boot.ApplicationInfoPropertySource] to EncryptableMapPropertySourceWrapper
2026-04-16 15:36:52 [main] INFO  c.u.j.f.DefaultLazyPropertyFilter - Property Filter custom Bean not found with name 'encryptablePropertyFilter'. Initializing Default Property Filter
2026-04-16 15:36:52 [main] INFO  c.u.j.r.DefaultLazyPropertyResolver - Property Resolver custom Bean not found with name 'encryptablePropertyResolver'. Initializing Default Property Resolver
2026-04-16 15:36:52 [main] INFO  c.u.j.d.DefaultLazyPropertyDetector - Property Detector custom Bean not found with name 'encryptablePropertyDetector'. Initializing Default Property Detector
2026-04-16 15:36:53 [main] INFO  o.a.r.s.a.RocketMQAutoConfiguration - a producer (unique-producer-group) init on namesrv 127.0.0.1:9876
2026-04-16 15:36:56 [main] INFO  o.a.r.s.s.RocketMQMessageListenerContainerRegistrar - Register the listener to container, listenerBeanName:rocketMqBizReceiver, containerBeanName:org.apache.rocketmq.spring.support.DefaultRocketMQListenerContainer_1
2026-04-16 15:36:56 [main] INFO  o.a.r.s.s.RocketMQMessageListenerContainerRegistrar - Register the listener to container, listenerBeanName:rocketMqRecallReceiver, containerBeanName:org.apache.rocketmq.spring.support.DefaultRocketMQListenerContainer_2
2026-04-16 15:36:57 [main] INFO  c.b.m.e.s.MybatisPlusApplicationContextAware - Register ApplicationContext instances org.springframework.web.context.support.GenericWebApplicationContext@7a389761
